t,pos_x,pos_y
1e-10,162.5,50.0
2e-10,180.0,50.0
3e-10,195.0,50.0
4e-10,210.0,50.0
5e-10,225.0,50.0
6e-10,237.5,50.0
7e-10,247.5,50.0
8e-10,255.0,50.0
9e-10,260.0,50.0
1e-09,265.0,50.0
1.1e-09,267.5,50.0
1.2e-09,267.5,50.0
1.3e-09,267.5,50.0
1.4e-09,267.5,50.0
1.5e-09,267.5,50.0
1.6e-09,267.5,50.0
1.7e-09,267.5,50.0
1.8e-09,267.5,50.0
1.9e-09,267.5,50.0
2e-09,267.5,50.0
2.1e-09,267.5,50.0
2.2e-09,267.5,50.0
2.3e-09,267.5,50.0
2.4e-09,267.5,50.0
2.5e-09,267.5,50.0
2.6e-09,267.5,50.0
2.7e-09,267.5,50.0
2.8e-09,267.5,50.0
2.9e-09,267.5,50.0
3e-09,267.5,50.0
3.1e-09,267.5,50.0
3.2e-09,267.5,50.0
3.3e-09,267.5,50.0
3.4e-09,267.5,50.0
3.5e-09,267.5,50.0
3.6e-09,267.5,50.0
3.7e-09,267.5,50.0
3.8e-09,267.5,50.0
3.9e-09,267.5,50.0
4e-09,267.5,50.0
4.1e-09,267.5,50.0
4.2e-09,267.5,50.0
4.3e-09,267.5,50.0
4.4e-09,267.5,50.0
4.5e-09,267.5,50.0
4.6e-09,267.5,50.0
4.7e-09,267.5,50.0
4.8e-09,267.5,50.0
4.9e-09,267.5,50.0
5e-09,267.5,50.0
5.1e-09,267.5,50.0
5.2e-09,267.5,50.0
5.3e-09,267.5,50.0
5.4e-09,267.5,50.0
5.5e-09,267.5,50.0
5.6e-09,267.5,50.0
5.7e-09,267.5,50.0
5.8e-09,267.5,50.0
5.9e-09,267.5,50.0
6e-09,267.5,50.0
6.1e-09,267.5,50.0
6.2e-09,267.5,50.0
6.3e-09,267.5,50.0
6.4e-09,267.5,50.0
6.5e-09,267.5,50.0
6.6e-09,267.5,50.0
6.7e-09,267.5,50.0
6.8e-09,267.5,50.0
6.9e-09,267.5,50.0
7e-09,267.5,50.0
7.1e-09,267.5,50.0
7.2e-09,267.5,50.0
7.3e-09,267.5,50.0
7.4e-09,267.5,50.0
7.5e-09,267.5,50.0
7.6e-09,267.5,50.0
7.7e-09,267.5,50.0
7.8e-09,267.5,50.0
7.9e-09,267.5,50.0
8e-09,267.5,50.0
8.1e-09,267.5,50.0
8.2e-09,267.5,50.0
8.3e-09,267.5,50.0
8.4e-09,267.5,50.0
8.5e-09,267.5,50.0
8.6e-09,267.5,50.0
8.7e-09,267.5,50.0
8.8e-09,267.5,50.0
8.9e-09,267.5,50.0
9e-09,267.5,50.0
9.1e-09,267.5,50.0
9.2e-09,267.5,50.0
9.3e-09,267.5,50.0
9.4e-09,267.5,50.0
9.5e-09,267.5,50.0
9.6e-09,267.5,50.0
9.7e-09,267.5,50.0
9.8e-09,267.5,50.0
9.9e-09,267.5,50.0
1e-08,267.5,50.0
