t,bp_number,bp_number_hh,bp_number_tt,loc_x_coarse,loc_x_fine,loc_y_fine
1e-11,1.0,1.0,0.0,1.5e-07,1.503169825293856e-07,5.0052108227807564e-08
2e-11,1.0,1.0,0.0,1.5e-07,1.5041739870564838e-07,5.0050619973781293e-08
3e-11,1.0,1.0,0.0,1.5e-07,1.5051615136148554e-07,5.004620720428496e-08
4e-11,1.0,1.0,0.0,1.5e-07,1.5061665906623383e-07,5.00422684606934e-08
5e-11,1.0,1.0,0.0,1.5e-07,1.50722167829808e-07,5.004007612557486e-08
6e-11,1.0,1.0,0.0,1.5e-07,1.508402777153082e-07,5.0040391674880786e-08
7e-11,1.0,1.0,0.0,1.5e-07,1.5098671612449042e-07,5.004338495271597e-08
8e-11,1.0,1.0,0.0,1.5e-07,1.5119093040890339e-07,5.004957416576181e-08
9e-11,1.0,1.0,0.0,1.525e-07,1.5150603941821025e-07,5.0060775475538986e-08
1e-10,1.0,1.0,0.0,1.525e-07,1.518876663975709e-07,5.007930918064941e-08
1.1e-10,1.0,1.0,0.0,1.525e-07,1.5222907509524548e-07,5.0093715410965315e-08
1.2e-10,1.0,1.0,0.0,1.525e-07,1.5249742120725603e-07,5.008494582119121e-08
1.3e-10,1.0,1.0,0.0,1.525e-07,1.5272487812582388e-07,5.0057067979012513e-08
1.4e-10,1.0,1.0,0.0,1.525e-07,1.52930474671216e-07,5.002411982717514e-08
1.5e-10,1.0,1.0,0.0,1.525e-07,1.5312494422470495e-07,4.9996520439688914e-08
1.6e-10,1.0,1.0,0.0,1.525e-07,1.533243948862302e-07,4.997964201940742e-08
1.7e-10,1.0,1.0,0.0,1.525e-07,1.5356046187954447e-07,4.9974362890177964e-08
1.8e-10,1.0,1.0,0.0,1.55e-07,1.53896729074197e-07,4.998081339323117e-08
1.9e-10,1.0,1.0,0.0,1.55e-07,1.5431451313380142e-07,5.0000334963906744e-08
2e-10,1.0,1.0,0.0,1.55e-07,1.5469384890556877e-07,5.0024769452071525e-08
2.1e-10,1.0,1.0,0.0,1.55e-07,1.5498155217350384e-07,5.003183685249316e-08
2.2e-10,1.0,1.0,0.0,1.55e-07,1.5522069117889053e-07,5.002031536657626e-08
2.3e-10,1.0,1.0,0.0,1.55e-07,1.5543860375052033e-07,5.000265394296677e-08
2.4e-10,1.0,1.0,0.0,1.55e-07,1.5565074434304834e-07,4.998811436749577e-08
2.5e-10,1.0,1.0,0.0,1.55e-07,1.558794415465773e-07,4.998185843838671e-08
2.6e-10,1.0,1.0,0.0,1.55e-07,1.5616845363593415e-07,4.998498364743919e-08
2.7e-10,1.0,1.0,0.0,1.575e-07,1.5658343647694658e-07,4.999859364579487e-08
2.8e-10,1.0,1.0,0.0,1.575e-07,1.5702469414714772e-07,5.0023350554998086e-08
2.9e-10,1.0,1.0,0.0,1.575e-07,1.5736351472030323e-07,5.0040315533106425e-08
3e-10,1.0,1.0,0.0,1.575e-07,1.5762352906911018e-07,5.003386531784918e-08
3.1e-10,1.0,1.0,0.0,1.575e-07,1.5784922003315568e-07,5.001556149949903e-08
3.2e-10,1.0,1.0,0.0,1.575e-07,1.5806009718201095e-07,4.999740054968118e-08
3.3e-10,1.0,1.0,0.0,1.575e-07,1.5827319775685054e-07,4.998633515303427e-08
3.4e-10,1.0,1.0,0.0,1.575e-07,1.585201209671122e-07,4.998460160940354e-08
3.5e-10,1.0,1.0,0.0,1.6e-07,1.5886823941676468e-07,4.99921038680875e-08
