t,bp_number,bp_number_hh,bp_number_tt,loc_x_coarse
1e-11,1.0,1.0,0.0,1.525e-07
2e-11,1.0,1.0,0.0,1.55e-07
3e-11,1.0,1.0,0.0,1.575e-07
4e-11,1.0,1.0,0.0,1.6e-07
5e-11,1.0,1.0,0.0,1.625e-07
6e-11,1.0,1.0,0.0,1.65e-07
7e-11,1.0,1.0,0.0,1.675e-07
8e-11,1.0,1.0,0.0,1.7000000000000001e-07
9e-11,1.0,1.0,0.0,1.7250000000000002e-07
1e-10,1.0,1.0,0.0,1.75e-07
1.1e-10,1.0,1.0,0.0,1.775e-07
1.2e-10,1.0,1.0,0.0,1.8e-07
1.3e-10,1.0,1.0,0.0,1.825e-07
1.4e-10,1.0,1.0,0.0,1.85e-07
1.5e-10,1.0,1.0,0.0,1.875e-07
1.6e-10,1.0,1.0,0.0,1.925e-07
1.7e-10,1.0,1.0,0.0,1.95e-07
1.8e-10,1.0,1.0,0.0,1.9750000000000001e-07
1.9e-10,1.0,1.0,0.0,2e-07
2e-10,1.0,1.0,0.0,2.025e-07
2.1e-10,1.0,1.0,0.0,2.05e-07
2.2e-10,1.0,1.0,0.0,2.075e-07
2.3e-10,1.0,1.0,0.0,2.125e-07
2.4e-10,1.0,1.0,0.0,2.15e-07
2.5e-10,1.0,1.0,0.0,2.175e-07
2.6e-10,1.0,1.0,0.0,2.2e-07
2.7e-10,1.0,1.0,0.0,2.2250000000000001e-07
2.8e-10,1.0,1.0,0.0,2.275e-07
2.9e-10,1.0,1.0,0.0,2.3e-07
3e-10,1.0,1.0,0.0,2.325e-07
3.1e-10,1.0,1.0,0.0,2.35e-07
3.2e-10,1.0,1.0,0.0,2.375e-07
3.3e-10,1.0,1.0,0.0,2.4000000000000003e-07
3.4e-10,1.0,1.0,0.0,2.45e-07
3.5e-10,1.0,1.0,0.0,2.475e-07
3.6e-10,1.0,1.0,0.0,2.5e-07
3.7e-10,1.0,1.0,0.0,2.525e-07
3.8e-10,1.0,1.0,0.0,2.55e-07
3.9e-10,1.0,1.0,0.0,2.6e-07
4e-10,1.0,1.0,0.0,2.6250000000000003e-07
4.1e-10,1.0,1.0,0.0,2.65e-07
4.2e-10,1.0,1.0,0.0,2.675e-07
4.3e-10,1.0,1.0,0.0,2.7e-07
4.4e-10,1.0,1.0,0.0,2.725e-07
4.5e-10,1.0,1.0,0.0,2.775e-07
4.6e-10,1.0,1.0,0.0,2.8e-07
4.7e-10,1.0,1.0,0.0,2.825e-07
4.8e-10,1.0,1.0,0.0,2.85e-07
4.9e-10,1.0,1.0,0.0,2.875e-07
5e-10,1.0,1.0,0.0,2.9000000000000003e-07
5.1e-10,1.0,1.0,0.0,2.95e-07
5.2e-10,1.0,1.0,0.0,2.975e-07
5.3e-10,1.0,1.0,0.0,3e-07
5.4e-10,1.0,1.0,0.0,3.025e-07
5.5e-10,1.0,1.0,0.0,3.05e-07
5.6e-10,1.0,1.0,0.0,3.075e-07
5.7e-10,1.0,1.0,0.0,3.125e-07
5.8e-10,1.0,1.0,0.0,3.15e-07
5.9e-10,1.0,1.0,0.0,3.1750000000000003e-07
6e-10,1.0,1.0,0.0,3.2e-07
6.1e-10,1.0,1.0,0.0,3.225e-07
6.2e-10,1.0,1.0,0.0,3.25e-07
6.3e-10,1.0,1.0,0.0,3.3e-07
6.4e-10,1.0,1.0,0.0,3.325e-07
6.5e-10,1.0,1.0,0.0,3.35e-07
6.6e-10,1.0,1.0,0.0,3.375e-07
6.7e-10,1.0,1.0,0.0,3.4000000000000003e-07
6.8e-10,1.0,1.0,0.0,3.425e-07
6.9e-10,1.0,1.0,0.0,3.475e-07
7e-10,1.0,1.0,0.0,3.5e-07
7.1e-10,1.0,1.0,0.0,3.525e-07
7.2e-10,1.0,1.0,0.0,3.55e-07
7.3e-10,1.0,1.0,0.0,3.575e-07
7.4e-10,1.0,1.0,0.0,3.6e-07
7.5e-10,1.0,1.0,0.0,3.65e-07
7.6e-10,1.0,1.0,0.0,3.6750000000000003e-07
7.7e-10,1.0,1.0,0.0,3.7e-07
7.8e-10,1.0,1.0,0.0,3.7250000000000003e-07
7.9e-10,1.0,1.0,0.0,3.75e-07
8e-10,1.0,1.0,0.0,3.775e-07
8.1e-10,1.0,1.0,0.0,3.825e-07
8.2e-10,1.0,1.0,0.0,3.85e-07
8.3e-10,1.0,1.0,0.0,3.875e-07
8.4e-10,1.0,1.0,0.0,3.9e-07
8.5e-10,1.0,1.0,0.0,3.925e-07
8.6e-10,1.0,1.0,0.0,3.9500000000000003e-07
8.7e-10,1.0,1.0,0.0,3.975e-07
8.8e-10,1.0,1.0,0.0,4.025e-07
