t,bp_number,bp_number_hh,bp_number_tt,loc_x_coarse,loc_x_fine,loc_y_fine
1e-11,1.0,1.0,0.0,1.5e-07,1.505941765008137e-07,5.005633361923521e-08
2e-11,1.0,1.0,0.0,1.5e-07,1.5108972617234288e-07,5.0054694836735636e-08
3e-11,1.0,1.0,0.0,1.525e-07,1.5187104521413528e-07,5.006444506375545e-08
4e-11,1.0,1.0,0.0,1.525e-07,1.5252228592755827e-07,5.00946200457149e-08
5e-11,1.0,1.0,0.0,1.525e-07,1.5301498796282969e-07,5.0075885235331426e-08
6e-11,1.0,1.0,0.0,1.525e-07,1.536467694339973e-07,5.003538485432721e-08
7e-11,1.0,1.0,0.0,1.55e-07,1.54582077217013e-07,5.002575125441839e-08
8e-11,1.0,1.0,0.0,1.55e-07,1.5523254297995796e-07,5.0034725975116485e-08
9e-11,1.0,1.0,0.0,1.55e-07,1.5579733416969185e-07,4.999933928310806e-08
1e-10,1.0,1.0,0.0,1.575e-07,1.5666976571316686e-07,4.9970305192493106e-08
1.1e-10,1.0,1.0,0.0,1.575e-07,1.5750845247401153e-07,4.998010121266474e-08
1.2e-10,1.0,1.0,0.0,1.575e-07,1.5808705350537674e-07,4.996641490460147e-08
1.3e-10,1.0,1.0,0.0,1.6e-07,1.588496976223457e-07,4.993956880610878e-08
1.4e-10,1.0,1.0,0.0,1.6e-07,1.598006503961328e-07,4.99475996827043e-08
1.5e-10,1.0,1.0,0.0,1.6e-07,1.6042831786221093e-07,4.995815394516767e-08
1.6e-10,1.0,1.0,0.0,1.6e-07,1.6111072264469357e-07,4.9936752677683486e-08
1.7e-10,1.0,1.0,0.0,1.625e-07,1.6211623552544612e-07,4.9940089970576323e-08
1.8e-10,1.0,1.0,0.0,1.625e-07,1.6281309511302838e-07,4.9964697349275065e-08
1.9e-10,1.0,1.0,0.0,1.625e-07,1.6346678730645198e-07,4.994801203943846e-08
2e-10,1.0,1.0,0.0,1.65e-07,1.6446860301916592e-07,4.994582387094238e-08
2.1e-10,1.0,1.0,0.0,1.65e-07,1.6522784316790034e-07,4.9975697600792214e-08
2.2e-10,1.0,1.0,0.0,1.65e-07,1.6586722135129603e-07,4.9962422452550205e-08
2.3e-10,1.0,1.0,0.0,1.675e-07,1.6684457471415108e-07,4.995425664075481e-08
2.4e-10,1.0,1.0,0.0,1.675e-07,1.676553702194912e-07,4.998410243398665e-08
