t,pos_x,pos_y
4e-11,492.5,47.5
8e-11,490.0,47.5
1.2e-10,485.0,47.5
1.6e-10,482.5,47.5
2e-10,480.0,47.5
2.4e-10,477.5,47.5
2.8e-10,472.5,47.5
3.2e-10,470.0,47.5
3.6e-10,467.5,47.5
4e-10,465.0,47.5
4.4e-10,460.0,47.5
4.8e-10,457.5,47.5
5.2e-10,455.0,47.5
5.6e-10,452.5,47.5
6e-10,450.0,47.5
6.4e-10,447.5,47.5
6.8e-10,442.5,47.5
7.2e-10,440.0,47.5
7.6e-10,437.5,47.5
8e-10,435.0,47.5
8.4e-10,432.5,47.5
8.8e-10,430.0,47.5
9.2e-10,427.5,47.5
9.6e-10,425.0,47.5
1e-09,425.0,47.5
1.04e-09,422.5,47.5
1.08e-09,420.0,47.5
1.12e-09,417.5,47.5
1.16e-09,417.5,47.5
1.2e-09,415.0,47.5
1.24e-09,412.5,47.5
1.28e-09,412.5,47.5
1.32e-09,410.0,47.5
1.36e-09,410.0,47.5
1.4e-09,407.5,47.5
1.44e-09,407.5,47.5
1.48e-09,407.5,47.5
1.52e-09,405.0,47.5
1.56e-09,405.0,47.5
1.6e-09,405.0,47.5
1.64e-09,402.5,47.5
1.68e-09,402.5,47.5
1.72e-09,402.5,47.5
1.76e-09,402.5,47.5
1.8e-09,400.0,47.5
1.84e-09,400.0,47.5
1.88e-09,400.0,47.5
1.92e-09,400.0,47.5
1.96e-09,400.0,47.5
2e-09,400.0,47.5
2.0100000000000003e-09,395.0,47.5
2.02e-09,390.0,47.5
2.0300000000000002e-09,385.0,47.5
2.04e-09,377.5,45.0
2.05e-09,372.5,45.0
2.06e-09,365.0,45.0
2.07e-09,357.5,47.5
2.0800000000000003e-09,352.5,47.5
2.09e-09,345.0,50.0
2.1e-09,337.5,55.0
2.11e-09,332.5,57.5
2.12e-09,325.0,62.5
2.1300000000000003e-09,320.0,70.0
2.14e-09,315.0,75.0
2.1500000000000002e-09,310.0,82.5
2.16e-09,307.5,90.0
2.17e-09,305.0,100.0
2.1800000000000003e-09,302.5,110.0
2.19e-09,300.0,120.0
2.2000000000000003e-09,295.0,127.5
